Target	a1	a2	a3	a4	a5
scum	dirt	earth	soap	filth	bath
grime	dirt	filth	grease	soot	grit
soiled	dirty	linen	clothing	dirtied	nappy
mucky	dirty	mud	filthy	dirt	pup
dissent	disagree	agree	argue	no	assent
infective	disease	catching	contagious	useless	germ
like	dislike	love	hate	similar	this
prove	disprove	it	theory	nothing	proof
afar	distant	near	off	away	distance
urban	district	rural	spaceman	city	town
multiply	divide	times	add	increase	breed
medical	doctor	hospital	care	student	school
surgery	doctor	hours	medicine	dentist	cut
consultant	doctor	physician	psychiatrist	ask	specialist
healing	doctor	wound	medicine	power	sick
guard	dog	against	protect	soldier	keep
biter	dog	bit	teeth	sweet	beer
poodle	dog	black	cut	french	horrible
breed	dog	dogs	rabbits	race	horse
handler	dog	dogs	trainer	boxes	feeler
boxer	dog	gloves	fight	ring	fighter
pup	dog	kitten	puppy	young	baby
sheep	dog	lamb	wool	goat	flock
leash	dog	lead	whip	collar	rent
cat	dog	mouse	black	mat	animal
bark	dog	tree	bite	shout	bitch
kennels	dogs	dog	animal	boarding	corporation
greyhounds	dogs	race	racing	track	dog
boxers	dogs	ring	gloves	fighters	dog
billion	dollars	million	money	trillion	dollar
doing	done	action	active	going	nothing
cupboard	door	bare	shelf	food	love
handle	door	care	hold	bar	touch
hinges	door	doors	depends	bolt	box
handles	door	doors	knobs	coffin	touches
knock	door	down	bang	hit	out
threshold	door	dream	pain	house	marriage
doorway	door	entrance	open	arch	hole
keys	door	ring	doors	lock	locks
trouble	double	maker	strife	shooters	worry
turtle	dove	soup	turn	sea	shell
descending	down	ascending	falling	stairs	lift
broken	down	glass	bottle	cracked	mended
settled	down	home	in	house	lived
sits	down	stands	chair	hits	in
sketch	draw	drawing	pad	artist	daily
diagram	drawing	picture	sketch	chart	plan
reverie	dream	joy	party	perfume	fun
robe	dress	gown	cloak	bath	red
formal	dress	informal	dinner	dance	meal
quaff	drink	ale	beer	laugh	quiff
booze	drink	beer	drunk	pub	bottle
imbibe	drink	bribe	drunk	booze	beer
beer	drink	drunk	froth	barrel	booze
hangover	drink	drunk	headache	beer	head
sip	drink	tea	taste	wine	beer
quinine	drug	malaria	medicine	drugs	poison
sober	drunk	judge	drink	beer	pissed
pissed	drunk	off	newt	stoned	up
inebriated	drunk	pissed	alcohol	beer	boozed
drip	dry	tap	drop	water	rain
dehydrated	dry	water	milk	powder	food
doubtful	dubious	uncertain	unsure	unlikely	wonder
deaf	dumb	ear	mute	aid	blind
manure	dung	shit	smell	heap	horse
whilst	during	while	doing	when	whist
fluff	dust	dirt	wool	carpet	cat
bin	dust	rubbish	bread	waste	gone
obligations	duties	duty	must	needs	none
lobe	ear	globe	left	cut	erotic
late	early	night	comer	bus	date
soil	earth	dirt	dirty	ground	garden
ground	earth	floor	sheet	work	hard
sod	earth	grass	turf	bastard	bugger
worm	earth	hole	turn	slimy	wood
bulldozer	earth	mud	site	push	tractor
lent	easter	borrow	borrowed	church	fast
simplicity	easy	pattern	ease	plain	complexity
simple	easy	simon	difficult	complex	complicated
relaxed	easy	sleep	chair	bed	quiet
feed	eat	food	back	cattle	animal
cake	eat	food	icing	fruit	biscuit
jagged	edge	rough	rock	sharp	mick
affect	effect	alter	influence	cause	me
timer	egg	clock	old	watch	eggs
laid	egg	down	eggs	hen	out
whisk	egg	eggs	away	beat	cream
scrambled	egg	eggs	mashed	message	mixed
scramble	egg	eggs	motorbike	motorcycle	bike
pyramid	egypt	triangle	sand	tower	build
full	empty	up	house	time	some
terminally	end	ending	exams	finally	death
conclusively	end	finally	evidence	final	decided
finality	end	finish	death	ending	climax
conclude	end	finish	decide	fin	begin
friend	enemy	foe	girl	good	acquaintance
foe	enemy	friend	bible	fear	fie
steam	engine	kettle	heat	train	ship
fire	engine	water	flame	hot	burn
language	english	french	barrier	words	foreign
plenty	enough	full	more	much	food
admission	entrance	free	entry	guilt	cinema
exit	entrance	out	door	entry	cinema
continent	europe	asia	africa	land	america
adam	eve	apple	house	man	ale
odd	even	queer	strange	peculiar	man
morning	evening	after	afternoon	sun	night
occasion	event	time	birthday	party	special
happenings	events	things	hippies	party	event
wicked	evil	bad	nasty	witch	cruel
result	exam	conclusion	answer	fail	end
test	exam	match	tube	try	cricket
tests	exams	driving	school	exam	experiment
nerves	exams	tension	breakdown	edge	skin
stock	exchange	share	cattle	shares	taking
thrill	excitement	excite	cheap	sex	spill
enter	exit	in	door	leave	into
await	expect	stop	time	wait	awhile
lids	eye	eyes	tins	pots	tops
wink	eye	nod	smile	blink	wank
private	eye	personal	public	property	army
conjunctivitis	eyes	eye	illness	ill	doctor
pupils	eyes	school	eye	teacher	students
senses	eyes	smell	touch	feelings	five
mask	face	hide	iron	gas	ball
cheeks	face	red	rosy	bottom	buttocks
statement	fact	bank	police	question	sentence
passed	failed	exam	out	away	gone
unfair	fair	justice	wrong	mean	bad
airy	fairy	light	open	wind	cold
sham	fake	false	pretend	sam	rage
slip	fall	petticoat	up	slide	ice
untrue	false	lie	true	lies	wrong
fallacy	false	untrue	wrong	mistake	lie
near	far	by	close	beside	me
nearer	farther	closer	close	further	far
penny	farthing	halfpenny	money	pound	lane
slow	fast	quick	down	snail	coach
speedy	fast	quick	gonzales	car	cars
swiftly	fast	quickly	quick	slowly	bird
slob	fat	fool	pig	tramp	big
obese	fat	large	animals	beast	bellow
stocky	fat	short	build	thick	built
slim	fat	thin	build	jim	slender
doom	fate	death	end	day	boom
paranoia	fear	madness	mental	ill	illness
fright	fear	scare	shock	ghost	scared
tremble	fear	shake	shiver	shudder	quiver
panic	fear	stricken	fright	stations	run
ostrich	feather	bird	sand	egg	feathers
sensation	feeling	feel	pain	hot	good
inches	feet	ruler	yards	miles	foot
male	female	man	sex	me	assertion
fact	fiction	figure	life	truth	figures
meadow	field	grass	lea	green	cow
clover	field	grass	leaf	four	fields
meadows	fields	cows	green	grass	buttercups
ferocious	fierce	dog	wild	beast	angry
dimension	fifth	size	space	length	three
forty	fifty	five	old	thieves	winks
argue	fight	debate	disagree	quarrel	discuss
warrior	fighter	soldier	war	sword	roman
shapely	figure	woman	legs	girl	curves
feature	film	face	article	nose	magazine
movies	films	cinema	pictures	film	flicks
dirt	filth	clean	dust	mud	muck
search	find	look	light	for	party
discovery	find	ship	columbus	america	science
rings	fingers	bells	wedding	bell	finger
accomplish	finish	achieve	succeed	do	complete
done	finished	did	well	it	work
cinders	fire	ashes	ash	burnt	hot
poker	fire	cards	game	strip	dice
grate	fire	cheese	grind	teeth	hearth
tong	fire	coal	china	sugar	chinese
burning	fire	desire	flame	smell	bright
poked	fire	fun	finger	prodded	prod
gas	fire	oven	board	stove	death
arson	fire	poison	about	dockyard	anarchy
burn	fire	up	hurt	baby	flame
second	first	minute	time	third	hand
last	first	time	night	end	least
chips	fish	down	everything	grease	egg
dolphin	fish	sea	fin	mammal	whale
sole	fish	shoe	foot	feet	only
flounder	fish	sink	fall	swim	drown
epilepsy	fit	fits	disease	illness	faint
epileptic	fit	mad	boy	ill	shame
spasm	fit	pain	orgasm	jerk	attack
apt	fitting	appropriate	right	suitable	clever
four	five	golf	square	legs	more
emblem	flag	badge	sign	country	crest
standard	flag	time	lamp	usual	bearer
plains	flat	grass	indians	spain	hills
apartment	flat	house	block	america	penthouse
digs	flat	lodgings	spade	bad	hole
penthouse	flat	suite	luxury	top	magazine
boards	floor	wood	planks	stage	black
raising	flour	lowering	self	lifting	up
rose	flower	garden	petal	red	tree
plant	flower	green	grow	leaf	life
stamen	flower	petal	plant	flowers	biology
germanium	flower	plant	element	germany	transistor
stem	flower	stalk	plant	root	stern
hearts	flowers	cards	clubs	love	spades
buds	flowers	flower	spring	may	rose
plants	flowers	green	animals	trees	leaves
seeds	flowers	plants	flower	growth	sow
gardening	flowers	tools	spade	fork	hoe
gastric	flu	ulcer	juices	juice	enteritis
cleaning	fluid	brush	woman	dry	polish
bird	fly	girl	tree	song	feathers
lead	follow	dog	heavy	pencil	weight
sequence	follow	series	events	following	next
meat	food	beef	steak	eat	fish
fattening	food	diet	sugar	calf	calories
eat	food	drink	sleep	fat	hunger
eats	food	drinks	cake	meat	sweets
feast	food	meal	banquet	eat	king
protein	food	meat	diet	cheese	eggs
delicious	food	nice	lovely	tasty	good
larder	food	pantry	cupboard	cheese	kitchen
groceries	food	shop	provisions	tins	eggs
diet	food	slim	fat	thin	calories
digestion	food	stomach	indigestion	eat	bad
dinner	food	tea	lunch	table	jacket
dinners	food	teas	meals	hot	school
hungry	food	thirsty	tired	empty	starving
imbecile	fool	idiot	moron	stupid	twit
oaf	fool	loaf	idiot	lout	lazy
idiots	fools	asylum	clowns	fool	men
athlete	foot	run	runner	fit	running
rugby	football	ball	game	sport	team
soccer	football	ball	team	pitch	rugby
pitch	football	black	tar	cricket	toss
sport	football	game	ball	games	rugby
offside	football	goal	nearside	foul	referee
coerce	force	persuade	together	join	combine
abroad	foreign	away	france	overseas	home
alien	foreign	enemy	foreigner	friend	martian
ignore	forget	leave	snub	notice	reject
forgave	forgive	forgot	sin	god	sins
shapeless	form	amorphous	blob	body	dress
backwards	forwards	reverse	behind	awkward	car
discovered	found	columbus	america	find	island
quadruped	four	animal	dog	horse	babies
quartet	four	string	music	jazz	quintet
independent	free	alone	me	life	television
liberty	freedom	statue	free	equality	bell
popular	friendly	music	people	car	famous
ripe	fruit	apple	pear	plum	ready
picking	fruit	apples	nose	up	berries
gooseberries	fruit	green	pie	bush	sour
picker	fruit	nose	apple	cotton	hop
melon	fruit	water	juice	juicy	yellow
desperation	frustration	help	despair	fear	panic
packed	full	case	box	cases	crowded
filled	full	empty	in	up	emptied
replenished	full	filled	fill	refilled	food
empty	full	nothing	room	bottle	box
party	fun	game	drink	games	people
excitement	fun	happy	joy	sex	thrill
basic	fundamental	simple	acid	bottom	essential
suite	furniture	hotel	chairs	chair	bedroom
dice	game	six	throw	poker	gamble
playing	games	cards	game	football	fun
fete	garden	fair	carnival	church	party
weeding	garden	gardening	out	green	hoe
accumulate	gather	collect	wealth	money	battery
map	geography	compass	car	country	world
nazi	german	hitler	war	germany	fascist
microbes	germs	bacteria	bugs	small	biology
bacteria	germs	germ	bugs	disease	virus
acquire	get	gain	obtain	steal	receive
spooky	ghost	ghosts	tooth	ghostly	scary
eery	ghost	weird	spooky	creepy	dark
rummy	gin	cards	tummy	game	bridge
boy	girl	child	friend	man	scout
guide	girl	scout	book	dog	lead
virginity	girl	sex	white	pure	purity
boyfriend	girlfriend	girl	love	sex	male
render	give	make	caesar	fat	sing
freely	given	loosely	openly	give	liberally
tidings	glad	good	joy	news	christmas
sticky	glue	mess	wet	wicket	sweet
stick	glue	stone	beat	mud	up
worship	god	church	adore	praise	pray
mercy	god	help	plead	flight	killing
creator	god	maker	artist	man	beginner
cleanliness	godliness	dirt	soap	clean	tidy
medal	gold	bravery	war	award	soldier
alchemy	gold	chemistry	chemist	science	magic
glitter	gold	sparkle	shine	christmas	tinsel
handicap	golf	race	child	cripple	difficulty
club	golf	society	member	house	night
holes	golf	socks	road	dig	ground
doer	good	action	done	active	actor
evil	good	bad	devil	black	wicked
excellent	good	brilliant	great	bad	best
efficient	good	clever	quick	me	useful
successful	good	exam	happy	rich	fail
exceptional	good	outstanding	unusual	brilliant	special
honest	good	true	dishonest	truth	god
efficiency	good	work	expert	speed	computer
snatch	grab	take	bag	grasp	handbag
goodness	gracious	badness	kindness	kind	mercy
vine	grape	wine	grapes	yard	leaves
green	grass	blue	red	yellow	field
scythe	grass	cut	sickle	hay	corn
diffraction	grating	light	bend	glass	maths
specific	gravity	definite	particular	special	exact
oil	grease	petrol	slick	water	car
stupendous	great	fantastic	large	big	incredible
jealously	green	envy	guarded	hate	hatred
pastures	green	fields	cows	meadows	new
glade	green	forest	grass	trees	wood
gangrene	green	leg	pain	blood	rot
olives	green	trees	oil	fruit	stuffed
clasp	grip	hold	hand	hands	grasp
moan	groan	cry	pain	complain	grumble
bride	groom	wedding	white	bridegroom	church
scaffold	group	building	hang	hanging	death
beat	group	music	up	win	drum
flourish	grow	flower	wave	blossom	plant
development	growth	area	building	progress	child
developement	growth	area	progress	child	photograph
innocence	guilt	child	guilty	virgin	girl
innocent	guilty	child	young	naive	free
spray	gun	hair	sea	foam	paint
soldier	gun	sailor	war	army	death
pistol	gun	shot	shoot	bang	fire
rifles	guns	shoot	gun	war	shooting
intestines	guts	gut	stomach	bowels	insides
mannerisms	habits	ways	actions	hands	affectation
ribbons	hair	bows	red	bands	blue
pubic	hair	hairs	bar	bone	house
greasy	hair	oil	fat	chips	dirty
shampoo	hair	set	lemon	soap	egg
clippers	hair	ships	nail	scissors	nails
demi	half	god	semi	wave	paradise
tool	hammer	kit	spade	box	chisel
chisel	hammer	wood	tool	stone	bench
tools	hammer	work	box	trade	kit
fingers	hand	thumbs	toes	hands	nails
palm	hand	tree	trees	sunday	oil
manipulate	handle	hand	work	hands	move
suspend	hang	ers	hanging	stocking	stop
content	happy	book	happiness	analysis	hold
jolly	happy	gay	good	sailor	fat
cheerfulness	happy	smile	happiness	me	sadness
sad	happy	unhappy	bad	cry	miserable
brittle	hard	break	snap	nut	sharp
tough	hard	guy	strong	meat	rough
stiff	hard	neck	rigid	body	board
difficulties	hard	problems	work	hardship	trouble
easier	harder	faster	simple	simpler	difficult
rabbit	hare	warren	pie	burrow	ears
bowler	hat	cricket	ball	batsman	green
coat	hat	hanger	jacket	dress	arms
dislike	hate	like	anger	enemy	hatred
love	hate	sex	girl	life	marriage
loving	hating	care	giving	kind	girl
possess	have	own	hold	keep	money
bale	hay	out	straw	cotton	wool
stack	hay	pile	cards	chimney	heap
she	he	her	him	girl	woman
pate	head	bald	liver	food	father
mop	head	brush	bucket	hair	broom
dizzy	head	lizzy	drunk	faint	height
cranium	head	skull	brain	nut	neck
migraine	headache	head	pain	aspirin	ache
tails	heads	coat	dogs	animals	rats
fitness	health	fatness	gym	test	athlete
pile	heap	carpet	driver	stack	up
throbbing	heart	pain	head	pulsating	pulse
fireside	hearth	chair	warm	warmth	coal
coldness	heat	ice	warmth	winter	frigid
thermodynamics	heat	science	physics	laws	nasty
load	heavy	lorry	weight	unload	up
elevation	height	lift	high	rise	up
stature	height	tall	size	statue	build
assist	help	aid	ant	held	lady
aid	help	first	foreign	assist	assistance
chick	hen	bird	egg	chicken	girl
arrived	here	came	departed	come	late
soaring	high	bird	flying	plane	sky
teas	high	coffee	afternoon	cakes	cream
jump	high	leap	up	joy	over
lofty	high	tall	peak	height	heights
wiggle	hips	bottom	walk	worm	girl
cosh	hit	police	bash	policeman	truncheon
fascism	hitler	nazi	italy	communism	dictator
keeps	holds	castles	ever	for	sake
button	hole	coat	sew	belly	thread
drill	hole	dentist	army	noise	oil
perforation	hole	holes	tear	paper	stamp
caves	holes	dark	sea	beach	darkness
moles	holes	hills	earth	animals	face
souvenirs	holiday	holidays	cheap	london	mementos
resort	holiday	seaside	sea	beach	brighton
vacation	holiday	work	sun	summer	abroad
dike	holland	ditch	wall	water	dam
parents	home	children	mother	father	family
family	home	friends	life	mother	tree
staying	home	going	power	remaining	put
queer	homosexual	odd	strange	funny	bent
rhino	horn	animal	hippo	africa	elephant
nasty	horrible	bad	horrid	nice	taste
stable	horse	door	horses	unstable	manger
mane	horse	lion	hair	tail	fur
foal	horse	mare	calf	young	coal
stallion	horse	mare	horses	stud	black
gallop	horse	run	poll	fast	charge
saddle	horse	sore	bridle	leather	riding
ride	horse	walk	bus	high	horses
cold	hot	ice	warm	water	freeze
curry	hot	rice	powder	food	indian
cottage	house	country	pie	thatch	farm
home	house	family	mother	away	life
property	house	land	mine	lost	own
built	house	made	up	constructed	factory
lease	house	rent	hold	lend	flat
build	house	up	construct	destroy	bricks
buildings	houses	high	tall	brick	bricks
roofs	houses	tops	chimneys	tiles	house
enormous	huge	big	large	elephant	fat
mankind	human	people	humanity	humans	god
thousand	hundred	million	pounds	one	miles
famine	hunger	food	india	starvation	starve
pang	hunger	pain	heart	bang	ping
injured	hurt	accident	leg	cut	pain
injure	hurt	blood	leg	wound	harm
bruise	hurt	blue	leg	black	cut
cream	ice	milk	cheese	cake	strawberries
skating	ice	rink	pond	skiing	ring
rink	ice	skating	skate	arena	brink
brainwave	idea	genius	flash	heat	storm
inspiration	idea	thought	hope	poet	light
fools	idiots	paradise	rush	april	day
unless	if	until	you	otherwise	useless
disregard	ignore	forget	notice	rules	authority
stricken	ill	dead	down	struck	grief
sickly	ill	pale	sweet	weak	sick
ailing	ill	sick	old	failing	death
indisposed	ill	unable	unavailable	engaged	out
bastard	illegitimate	child	son	swear	sod
mystery	imagination	story	man	suspense	tour
betterment	improvement	improve	levy	good	ambition
tax	income	money	man	rebate	evasion
famous	infamous	men	person	man	people
blob	ink	blotch	jelly	paint	spot
feeler	insect	hand	antenna	gauge	tentacle
outside	inside	cold	in	rain	there
wherein	inside	there	lies	here	bible
fascinating	interesting	intriguing	amazing	book	exciting
monger	iron	fish	war	scandal	seller
foundry	iron	steel	worker	factory	metal
solder	iron	weld	join	metal	flux
regular	irregular	army	clockwork	clock	often
annoy	irritate	anger	tease	aggravate	hate
it	is	thing	that	them	was
was	is	were	not	there	am
mainland	island	sea	england	coast	europe
irritation	itch	annoyance	scratch	anger	rash
imprisonment	jail	cell	gaol	prison	bars
penury	jail	money	prison	poverty	what
calamity	jane	disaster	catastrophe	accident	mess
levi	jeans	jew	strauss	bible	priest
vocation	job	calling	priest	career	nun
profession	job	doctor	teaching	medicine	work
occupation	job	work	therapy	student	none
hip	joint	bone	pocket	thigh	body
smith	jones	black	john	brown	ian
glee	joy	happy	club	happiness	fun
judicial	judge	law	court	courts	wig
lime	juice	green	lemon	tree	drink
succulent	juicy	fruit	tasty	cactus	delicious
parachute	jump	drop	fall	white	air
startle	jump	surprise	frighten	shock	fright
senior	junior	service	old	older	prefect
fairness	justice	blonde	just	equal	beauty
retain	keep	hold	contain	lose	memory
locks	keys	hair	canal	key	curls
abducted	kidnapped	kidnap	taken	rape	girl
destroyed	killed	war	ruined	ship	burnt
tartan	kilt	bitter	beer	scot	scottish
sorts	kinds	all	types	out	liquorice
queen	king	bee	crown	elizabeth	mary
tyrant	king	dictator	hitler	power	ruler
abdicate	king	resign	george	leave	edward
embrace	kiss	love	hug	arms	girl
kin	kith	family	next	folk	brother
carve	knife	meat	wood	cut	joint
stab	knife	wound	dagger	kill	blood
knew	know	him	old	well	how
learning	knowledge	school	teaching	books	book
hoop	la	ring	circle	loop	hula
lass	lad	girl	gal	lads	scotland
rungs	ladder	ladders	bungs	bells	climb
gent	lady	toilet	man	ladies	loo
chops	lamb	pork	meat	food	chips
seascape	landscape	painting	water	horizon	cliff
french	language	english	german	france	lesson
monstrously	large	big	grossly	terribly	huge
delayed	late	action	stopped	time	train
early	late	morning	bird	dawn	punctual
heartily	laugh	cheerily	drink	jolly	eat
joke	laugh	funny	laughter	fun	practical
court	law	judge	tennis	justice	king
criminal	law	prison	thief	jail	mind
sloth	lazy	animal	idleness	bear	laziness
lounging	lazy	chair	about	lying	sitting
idle	lazy	rich	me	jack	person
slothful	lazy	slow	idle	me	slug
cabbage	leaf	green	cauliflower	plant	lettuce
tilt	lean	slide	tip	bend	slant
thong	leather	strap	whip	belt	crowd
neglect	leave	children	child	forget	poverty
disown	leave	disinherit	reject	son	abandon
boring	lecture	drill	dull	lectures	drag
gam	leg	bacon	ham	game	jam
arm	leg	hand	band	pit	limb
garter	leg	stocking	star	sock	thigh
knees	legs	knobbly	bend	hands	up
trousers	legs	pants	leg	man	suit
stockings	legs	tights	shoes	socks	tops
fizzy	lemonade	drink	pop	hair	lizzy
borrow	lend	beg	steal	books	take
seal	letter	animal	walrus	envelope	fish
stamp	letter	collection	collector	duty	post
postman	letter	letters	knock	dog	mail
envelope	letter	paper	blue	cover	pen
write	letter	read	pen	down	book
posted	letter	sent	abroad	army	home
salad	lettuce	cream	days	dressing	green
diabolical	liberty	devil	awful	devilish	terrible
freedom	liberty	speech	fighter	free	america
dustbin	lid	rubbish	dirt	dustman	garbage
untruth	lie	truth	false	wrong	liar
enjoy	life	hate	love	sex	pleasure
heaved	lifted	pulled	threw	sick	sigh
candle	light	wick	wax	flame	stick
probable	likely	possible	improbable	statistics	problem
vodka	lime	drink	russia	orange	gin
parallel	lines	straight	bars	line	geometry
cuff	link	shirt	sleeve	fist	hand
salve	lip	ointment	save	cream	heal
dwell	live	house	home	cave	abode
energetic	lively	fit	lazy	exercise	tired
abiding	living	staying	law	home	hymn
alone	lonely	together	myself	sad	single
lifetime	long	death	age	eternity	years
ago	long	years	past	before	time
gaze	look	stare	at	see	stars
slackness	loose	lazy	laziness	looseness	rope
slack	loose	tight	lazy	taut	coal
liege	lord	lief	king	standard	my
truck	lorry	driver	van	army	wagon
winner	loser	first	horse	race	looser
deficit	loss	money	lack	balance	debt
missed	lost	hit	bus	out	train
forgotten	lost	remembered	memory	past	world
forlorn	lost	sad	hope	alone	lonely
gained	lost	won	got	achieved	passed
bawdy	loud	rowdy	song	house	drink
hatred	love	fear	anger	envy	death
passion	love	flower	sex	emotion	feeling
everlasting	love	life	eternal	god	long
marriage	love	sex	divorce	guidance	wedding
fonder	love	than	closer	jane	like
hated	loved	disliked	loathed	dislike	love
highly	lowly	dangerous	intelligent	delighted	esteemed
angry	mad	cross	annoyed	man	sad
sane	mad	insane	normal	asylum	mental
scientist	mad	laboratory	artist	man	lab
mania	mad	madness	sex	phobia	pop
bipolar	magnet	two	lens	molecule	transistor
produce	make	eggs	farm	food	fruit
manufacture	make	goods	factory	clothes	industry
decisions	make	ideas	made	difficult	mind
manufacturer	maker	factory	goods	make	industry
creating	making	art	life	god	make
female	male	girl	woman	sex	animal
bloke	man	chap	fellow	girl	fella
wise	man	foolish	old	owl	sage
cave	man	hole	dark	sea	cavern
invisible	man	ink	unseen	visible	see
person	man	people	individual	me	being
virile	man	strong	manly	sterile	me
several	many	few	people	lots	times
much	many	more	ado	lot	little
various	many	several	different	things	assorted
protest	march	demonstration	student	banner	demonstrate
ceremony	marriage	wedding	church	pomp	funeral
matrimony	marriage	wedding	church	wife	love
engaged	married	ring	marriage	vacant	occupied
feminine	masculine	girl	woman	female	sex
bulk	mass	buying	fat	cargo	modulus
who	me	doctor	whom	what	is
thyself	me	myself	bible	you	yourself
ego	me	self	i	pride	freud
myself	me	yourself	you	i	alone
selfish	mean	me	greedy	pig	greed
average	mean	normal	man	medium	above
stingy	mean	tight	man	miser	money
lean	meat	fat	thin	bacon	hungry
raw	meat	uncooked	egg	blood	red
cure	medicine	heal	disease	doctor	ill
ends	meet	begins	means	finish	finishes
bachelors	men	peas	spinsters	flat	male
repair	mend	car	fix	shoe	shoes
fixing	mending	glue	mend	hole	bracket
disturbed	mentally	upset	mental	mind	sleep
chaos	mess	order	darkness	riot	disaster
gulf	mexico	stream	oil	petrol	gap
dairy	milk	maid	cow	cream	cattle
thoughts	mind	ideas	actions	good	think
memory	mind	test	forget	think	lane
possessions	mine	belongings	goods	own	ownership
thine	mine	yours	bible	thou	god
whose	mine	yours	his	is	theirs
hour	minute	day	time	glass	clock
hours	minutes	time	days	clock	long
reflect	mirror	think	light	water	glass
error	mistake	wrong	fault	boob	condition
master	mistress	school	servant	pupil	art
vague	misty	hazy	unclear	idea	indefinite
complain	moan	argue	grouse	nag	again
grumble	moan	grouse	complain	groan	mumble
sunday	monday	church	morning	school	papers
bank	money	account	book	manager	clerk
change	money	alter	clothes	different	over
spent	money	broke	exhausted	gone	finished
till	money	cash	then	death	soil
capitalism	money	communism	socialism	good	politics
owe	money	debt	borrow	lend	pay
coffer	money	gold	box	coffin	dam
hoard	money	gold	keep	nuts	store
allowance	money	grant	family	pension	pay
save	money	life	help	queen	spend
debts	money	owe	owes	bank	owing
debt	money	owe	pay	bank	credit
economics	money	politics	statistics	history	study
reward	money	prize	punishment	gift	good
recompense	money	reward	pay	repay	give
tycoon	money	rich	business	oil	american
wealth	money	riches	poverty	rich	health
invest	money	save	spend	gain	give
thrift	money	save	spend	saving	economy
shopkeepers	money	shop	shops	grocers	nation
broke	money	skint	me	smashed	stony
collection	money	stamp	group	stamps	box
earn	money	wage	work	bread	job
tips	money	waiter	cigarettes	filter	coal
value	money	worth	price	less	bargain
cloistered	monk	church	nun	monks	monastery
habit	monk	custom	forming	bad	cloak
apes	monkeys	men	man	hair	monkey
sun	moon	shine	hot	bright	shade
any	more	one	thing	none	some
housewife	mother	woman	home	husband	work
rugged	mountain	rough	rock	cliff	face
lip	mouth	kiss	service	stick	tongue
caked	mud	baked	icing	iced	bake
huts	mud	sheds	wood	houses	shacks
squelch	mud	wet	water	ooze	wellingtons
divide	multiply	split	separate	conquer	into
kill	murder	die	no	death	hate
jazz	music	band	noise	club	folk
classic	music	book	cinema	example	greek
flute	music	instrument	oboe	harp	pipe
blues	music	jazz	sad	rhythm	depression
beatles	music	pop	insects	great	hair
instrument	music	tool	violin	musical	play
obligatory	must	compulsory	necessary	duty	force
compulsion	must	force	urge	desire	drive
imperative	must	important	command	necessary	order
thumb	nail	finger	screw	tom	fingers
hammer	nail	tongs	sickle	chisel	nails
biting	nails	teeth	cold	dog	nail
nude	naked	bare	woman	body	painting
wide	narrow	open	broad	river	large
horrible	nasty	ugly	awful	nice	ghastly
anthem	national	hymn	song	queen	church
instinct	natural	animal	nature	birds	fear
nigh	near	on	well	high	dark
tidiness	neat	neatness	clean	room	untidiness
tidier	neater	neat	room	cleaner	clean
want	need	desire	get	wish	now
require	need	want	help	money	much
syringe	needle	doctor	injection	hypodermic	drugs
sew	needle	knit	machine	thread	stitch
compass	needle	north	point	direction	map
pin	needle	prick	cushion	head	drop
impossible	never	not	possible	hard	difficult
sometime	never	soon	always	now	often
modern	new	old	ancient	house	art
topical	news	tropical	newspaper	subject	current
especially	nice	particularly	you	good	me
pleasing	nice	pleasant	happy	good	people
polite	nice	rude	manners	kind	good
delightful	nice	sex	fun	girl	good
eighteen	nineteen	years	age	me	school
anybody	nobody	somebody	someone	everybody	anyone
deafening	noise	loud	roar	crash	noisy
sound	noise	music	bell	loud	fury
louder	noise	softer	shout	speaker	noisier
ambition	none	aim	want	career	money
south	north	west	pole	east	africa
nostril	nose	hair	breathe	breathing	horse
snub	nose	snob	ignore	hurt	reject
aquiline	nose	water	eagle	fish	horse
must	not	do	go	should	have
why	not	question	because	how	when
anything	nothing	goes	something	all	else
pronoun	noun	verb	adverb	grammar	word
recent	now	new	soon	near	past
later	now	sooner	on	after	soon
when	now	then	where	time	why
nakedness	nude	bare	nudity	beauty	sex
pose	nude	photograph	model	stand	photo
convent	nun	nuns	school	garden	girls
doctor	nurse	medicine	ill	dentist	patient
rhymes	nursery	reasons	poetry	rhythm	poem
raisins	nuts	currants	sultanas	cake	currents
clumsy	oaf	awkward	fool	me	drop
porridge	oats	breakfast	food	milk	scots
disobey	obey	order	naughty	orders	wrong
pacific	ocean	atlantic	south	calm	quiet
seas	oceans	waves	high	over	seven
strange	odd	queer	peculiar	foreign	funny
unusual	odd	strange	different	rare	funny
fuck	off	swear	you	me	rude
proffer	offer	give	prefer	assistance	gain
frequent	often	always	bus	pub	regular
slick	oil	smooth	slack	smart	grace
young	old	child	girl	baby	boy
retire	old	leave	rest	age	bed
aged	old	man	infirm	pension	pensioner
age	old	youth	time	year	years
twice	once	thrice	two	again	nightly
unity	one	church	together	togetherness	oneness
beloved	one	dear	wife	darling	loved
radio	one	television	music	transistor	noise
unit	one	trust	sink	army	box
doors	open	windows	shut	closed	swing
undergo	operation	suffer	do	test	change
attitude	opinion	idea	mind	manner	outlook
counterpart	opposite	other	partner	equal	friend
hopeful	optimistic	hope	hopeless	optimist	happy
juice	orange	fruit	lemon	apple	tomato
segment	orange	piece	circle	part	bit
peeling	orange	potatoes	skin	off	potato
lemon	orange	sour	tree	yellow	tea
